Media Type	Description	Extension
video/webm	WEBM video	.webm
application/manifest+json	Web application manifest	.webmanifest
image/webp	WEBP image	.webp
font/woff	Web Open Font Format (WOFF)	.woff
font/woff2	Web Open Font Format 2 (WOFF2)	.woff2
application/xhtml+xml	XHTML	.xhtml
application/vnd.ms-excel	Microsoft Excel	.xls
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Microsoft Excel (OpenXML)	.xlsx
application/xml	XML	.xml
application/vnd.mozilla.xul+xml	XUL	.xul
application/zip	ZIP archive	.zip
video/3gpp	3GPP audio/video container	.3gp
video/3gpp2	3GPP2 audio/video container	.3g2
application/x-7z-compressed	7-zip archive	.7z
text/x-rust	Rust source	.rs
text/x-python	Python source	.py
text/x-go	Go source	.go
text/x-typescript	TypeScript source	.mts, .cts
text/jsx	JavaScript JSX	.jsx
text/tsx	TypeScript JSX	.tsx
text/x-c	C source	.c
text/x-c++src	C++ source	.cpp, .cc, .cxx
text/x-chdr	C/C++ header	.h, .hpp
text/x-java-source	Java source	.java
text/x-kotlin	Kotlin source	.kt, .kts
text/x-swift	Swift source	.swift
text/x-ruby	Ruby source	.rb
application/x-perl	Perl script	.pl
text/x-lua	Lua source	.lua
text/x-sql	SQL	.sql
application/toml	Tom's Obvious Minimal Language (TOML)	.toml
text/x-ini	INI configuration	.ini
text/x-properties	Java properties	.properties
application/wasm	WebAssembly binary	.wasm
text/x-diff	Diff / patch	.diff, .patch
application/x-tex	TeX / LaTeX	.tex
application/x-bibtex	BibTeX	.bib
text/x-org	Org mode	.org
text/x-rst	reStructuredText	.rst
application/x-ndjson	Newline-delimited JSON	.ndjson
application/cbor	Concise Binary Object Representation (CBOR)	.cbor
application/x-protobuf	Protocol Buffers	.proto
application/graphql	GraphQL	.graphql, .gql
application/rss+xml	RSS feed	.rss
application/atom+xml	Atom feed	.atom
text/vcard	vCard contact	.vcf
application/zstd	Zstandard archive	.zst
application/x-xz	XZ archive	.xz
application/vnd.sqlite3	SQLite database	.sqlite, .db
image/heic	HEIC image	.heic
image/heif	HEIF image	.heif
image/jxl	JPEG XL image	.jxl
audio/flac	FLAC audio	.flac
audio/x-m4a	M4A audio	.m4a
video/quicktime	QuickTime video	.mov
video/x-matroska	Matroska video	.mkv
application/vnd.android.package-archive	Android package	.apk
application/x-debian-package	Debian package	.deb
application/x-rpm	RPM package	.rpm
application/x-msdownload	Windows executable	.exe, .dll
application/x-iso9660-image	ISO disk image	.iso
application/postscript	PostScript	.ps
application/vnd.google-earth.kml+xml	Keyhole Markup Language (KML)	.kml
application/geo+json	GeoJSON	.geojson
font/collection	Font collection	.ttc
